Year,Class A Hong Kong,Class A Kowloon,Class A New Territories,Class B Hong Kong,Class B Kowloon,Class B New Territories,Class C Hong Kong,Class C Kowloon,Class C New Territories,Class D Hong Kong,Class D Kowloon,Class D New Territories,Class E Hong Kong,Class E Kowloon,Class E New Territories
1999,193,173,133,197,157,116,248,183,140,274,187,177,307,186,175
2000,192,166,130,198,149,117,252,172,144,276,195,184,316,197,174
2001,187,153,120,191,146,112,254,184,141,282,233,177,328,207,186
2002,165,134,105,168,132,101,225,164,122,247,196,156,305,190,169
2003,152,122,93,147,120,88,191,157,103,216,172,133,261,182,146
2004,167,125,99,168,134,95,213,171,114,234,188,151,275,159,165
2005,188,140,106,184,145,101,243,193,122,263,205,161,318,201,176
2006,216,154,113,207,155,107,258,198,124,298,220,171,355,197,189
2007,246,170,127,237,170,118,289,220,144,335,240,195,396,228,225
2008,278,198,146,271,202,139,336,264,170,397,291,238,473,273,261
2009,236,181,137,226,174,126,272,230,142,304,236,182,362,244,209
2010,285,204,166,275,217,152,327,278,174,358,287,223,409,269,233
2011,331,241,184,314,240,168,359,288,190,399,299,242,469,294,253
2012,325,237,193,304,232,175,346,281,190,391,269,249,465,293,287
2013,377,293,240,347,278,205,383,306,225,419,310,244,477,341,256
2014,397,311,253,358,300,218,391,321,227,412,322,250,466,329,247
2015,435,345,272,392,324,238,421,355,249,438,349,256,466,342,256
2016,415,329,266,372,302,226,395,329,233,422,326,247,433,349,235
2017,452,354,296,403,327,251,433,356,259,444,349,256,454,368,240
2018,488,391,314,428,353,267,455,376,270,452,381,269,474,370,252
2019,507,391,316,432,350,266,450,371,271,458,363,268,468,382,244
2020,445,370,299,394,330,254,409,347,256,417,340,254,423,351,230
2021,446,377,307,392,331,260,408,350,263,418,349,259,422,381,241
2022,445,376,307,382,323,255,400,340,257,413,331,253,427,340,227
2023,456,398,313,380,337,257,413,349,256,425,351,249,434,378,224
