Year,Take Up (SA Less than 100 m2),Take up (SA 100 m2 or above),Take up (Total)
1985,NA,2000,29500
1986,NA,1800,30300
1987,NA,2650,35100
1988,NA,1700,33900
1989,NA,2700,23700
1990,29650,1050,30700
1991,21900,1450,23350
1992,21300,1380,22680
1993,26360,960,27320
1994,22430,820,23250
1995,23490,1220,24710
1996,18810,1670,20480
1997,14760,330,15090
1998,13220,-170,13050
1999,17070,2490,19560
2000,28240,940,29180
2001,17220,2100,19320
2002,19830,100,19930
2003,20080,2410,22490
2004,30890,510,31400
2005,16150,1300,17450
2006,14040,2360,16400
2007,19300,550,19850
2008,6290,600,6890
2009,10420,670,11090
2010,5790,2240,8030
2011,10770,630,11400
2012,6680,870,7550
2013,6390,1670,8060
2014,14210,2310,16520
2015,8970,1560,10530
2016,11040,841,11881
2017,14867,2087,16954
2018,11083,540,11623
2019,16751,2527,19278
2020,10787,1758,12545
2021,14101,10,14111
2022,13100,912,14012
